hypothesis,premise,label
quelqu'un vieux agit avec quelque chose,"Personne âgée qui a une planche en bois dans son lap, jouant avec des fils.",0
Deux jeunes garçons posent une photo.,"Deux jeunes garçons regardent à la caméra, l'un souriant, l'autre s'enfonce à sa langue.",0
L'homme construit une maison pour Habitats pour l'humanité.,Un homme portant un t-shirt vert et un chapeau dur blanc travaillant sur une maison et mettant un ongle sur une pièce de bois.,1
Le chien est à l'extérieur.,Le chien brun roule le long d’une voie grasse.,0
Une femme en fauteuil roulant tourne le coin.,Une femme dans une chemise verte en course.,2
Un chien blanc suit quelqu'un dans l'eau.,Un chien blanc naissant en gardant un jouet orange dans sa bouche.,1
Le taureau de pit était au parc de chiens.,Un petit chien marche sur l'herbe verte et porte un bâton dans sa bouche.,2
Les tourneurs sont heureux de leur vie.,Cette photo invite les turcateurs amazoniens à s'inquiéter des problèmes du premier monde.,2
Un motocycliste a stationné son vélo.,Un motocycliste évolue parmi une foule de gens qui marchent.,2
Le bébé porte son jumper vert et ses bottes.,Un joli bébé enveloppé dans une couverture blanche avec des bandes bleue et rose.,2
Les gens vont travailler.,Trois personnes tentent d'ouvrir une grande porte à un atelier fermé.,1
L'enfant saute.,Un enfant saute dans l'eau avec ses chaussures.,0
L'homme se tient à côté du cheval.,L'homme en noir avec un chapeau plumée se trouve sur un cheval.,2
4 filles jouent volleball ensemble.,"Quatre filles en chemises oranges jouent ensemble la corde de saut, tandis que d'autres filles font de même dans d'autres groupes derrière elles.",2
Plusieurs personnes traversent lentement un parc.,Plusieurs personnes traversent rapidement un stationnement.,2
Certains cops en équipement SWAT complet approuvent rapidement une foule,Police en équipement tactique SWAT en direction d’une foule.,0
Personnes disposant d'instruments.,Une femme dans une veste d'or et deux autres personnes jouant des instruments.,0
Les gens pêchent.,Un groupe de personnes se déplace sur un bateau.,1
Le garçon joue dans la boue.,Un garçon dans une chemise blanche sauvage remplit une bouteille d'eau avec de la saleté.,1
Fruits vendus,Les vendeurs vendent des fruits et des légumes sur un marché en plein air.,0
La boîte jaune que les techniciens de laboratoire examinent contient des preuves.,"Deux filles, l'une asiatique et l'autre blanche, se trouvent dans des manteaux de laboratoire blancs travaillant sur quelque chose d'une boîte jaune.",1
Un moteur d'incendie se trouve près d'un nuage de fumée.,"Un moteur d'incendie se trouve près d'un nuage de fumée épaisse, un pompier se trouvant au dessus du camion et un autre pompier se dirigeant vers la fumée.",0
Les gens sont en train de poser un sommeil.,Personnes qui s'envolent dans la rue avec des observateurs,2
Il y a un groupe d'hommes.,Un groupe d'hommes parle à une souriante femme.,0
Il y a une femme placée sur un baril.,Une femme en bleu avec une canne assise sur un baril.,0
Une bande joue de la musique rock et roll sous des feux de scène.,Une bande joue dans des feux de scène.,1
Deux chiens jouent à l’extérieur,"Deux chiens, le chien blanc qui se tient sur un frisbee, jouant ensemble sur l'herbe.",0
Une petite fille est outisde.,Petit garçon jouant en feuilles.,2
Deux femmes en vacances pose pour une photo.,Deux femmes dotées de chapeaux décorés de fleurs posent pour une photo.,1
Groupe de personnes asiatiques qui empruntent Cyclone à l'île de Coney.,Groupe de personnes qui empruntent Cyclone à l'île de Coney.,1
L'homme qui porte le dossier est seul sur la rue.,Un homme plus âgé en chemise blanche et en jeans bleus porte un dossier sous son bras alors qu'il marche sur une rue publique occupée.,2
Une femme à l'extérieur.,"Une femme à cheveux longs, portant un manteau de longueur moyenne et des chaussures à talon noir regarde dans la fenêtre de l'atelier Au Levain D'antan.",0
un homme sur un vélo dans les bois,Un homme en casque jaune évoluant sur un sentier traversant les forêts.,0
Un homme porte des jeans.,Une personne qui porte une paire de courtes courtes jaunes plonge pour prendre un frisbee.,2
Quelqu'un a aidé une fille à jouer un jeu vidéo.,Une femme en veste et en calotte blanche aide une jeune fille à faire des arts et des métiers d'art.,2
la femme est blanche,Une femme en costume rouge et des lunettes de soleil parlant sur son cellulaire.,1
Le chien est un taureau de fosse,Un chien brun et noir roule son visage dans l'herbe.,1
Les filles pâtissent de la fontaine d'eau.,une fille prend une goutte de la fontaine d'eau.,0
Cinq jeunes femmes siègent.,"Quatre hommes plus âgés assis sur des chaises de patio, un en bandes, un en noir et un en bleu, tous ayant la même forme d'estomac.",2
Les chefs jettent des chaînes de viande,Trois chefs en uniforme travaillent dans une ligne de montage pour préparer des pâtisseries.,2
Les gens qui regardent les étoiles.,"Les gens à bord d'un train bleu, blanc et or.",2
Un auteur rencontre quelqu'un.,Un auteur signe son livre pour un fan.,0
Les acheteurs ont leurs mains pleines.,"Les acheteurs asiatiques passent par la Carpintaria, tous transportant des sacs à achat remplis d'articles.",0
Il y a des poissons dans l'eau.,Un pêcheur pêche à la rive d'un fleuve en pâturage.,1
L'homme marche avec son fils.,Un homme étrangement habillé poussant une promenade sur un trottoir dans un parc.,1
Les joueurs de hockey et les entraîneurs établissent une stratégie pour la deuxième moitié du jeu,Un groupe de joueurs de hockey et d'entraîneurs ayant des conversations.,1
Un homme porte un sac à dos rempli de nourriture.,Un homme portant un sac à dos pousse contre un mur de roche.,1
Un garçon se tient derrière le comptoir.,Un enfant dans une chemise noire derrière le comptoir d'un magasin.,1
Un homme plus âgé travaille en bois avec un jauge et des outils à main.,Un homme plus âgé sculpte du bois à l'aide d'une machine et d'outils à main.,1
l'homme est très froid,Un jeune homme en shorts et t-shirt est en snowboard sous un ciel bleu vif.,1
Le chien se couche sur la couche.,Un chien dans un champ.,2
Les garçons sont tous des frères.,Quatre garçons jouent sur la roue de l'inertie dans un parc.,1
Un homme sourit devant un couple de plateaux.,"Un homme en chemise noire regarde à l'intérieur d'une châssis, en s'appuyant sur deux plateaux et en posant des verres avec un liquide jaune.",0
Une femme ayant de courtes cheveux porte des vêtements.,Une femme à cheveux court et à dessus de char en blanc prend des photos.,0
Une femme est à la ligne d'enregistrement à Trader Joe's.,Une femme pousse un panier d'épicerie dans le stationnement de Trader Joe's.,2
La femme cuisine la lasagna.,une femme qui prend des mesures pour un projet de couture,2
Un homme remporte le marathon de New York.,"Dans cette photo, il y a un homme dans une chemise blanche en pantalons bleus foncés qui se trouvent sur un petit bateau dans ce qui ressemble à un lac d'une sorte, il a un filet d'une main et une ligne d'un type de corde dans l'autre la ligne est dans l'eau, l'homme a également un sac de couleur teal sur son bateau pour qu'",2
L'homme est en train d'emprunter un moto BMX.,"Un jeune homme exécutant un ralentissement à vélo sur une plate-forme très petite, alors qu'un autre le voit.",1
Les gens se trouvent à proximité d'une voie.,Le père pousse son fils sur la piste.,0
Un couple d'hommes transportent un membre d'équipe.,"Deux hommes, un petit et un noir dirigé, tiennent un joueur d'équipe dans un ensemble de course en deux pièces.",0
L'homme a des tatouages.,un homme ayant des tatoos jouant avec un chien blanc ayant une oreille noire,0
Le chien joue au soccer.,Le gros chien gris se voit remettre une balle de soccer blanche.,1
Un homme joue le piano,Une personne en peau rouge joue une guitare électrique.,2
Deux personnes rire à la table.,Deux femmes assises à une table partagent un rire.,0
La femme porte une robe de mariage.,Une femme portant une robe de bogue célébrante,2
Deux vieux hommes fument sur leur porche.,Deux femelles assises sur une escalier dans un immeuble en tuyauterie essentiellement blanc.,2
Un homme en vêtement blanc tient un bébé dans l'air au milieu d'une foule d'autres personnes devant une statue de pierre.,Un homme en vêtement blanc tient un drapeau jaune et blanc derrière lui en bouillant dans l'air au milieu d'une foule d'autres personnes devant un grand bâtiment à tan.,2
Les hommes jouent à l'écran.,Les hommes recouverts d'un mess rouge jouent l'échec.,2
Une fille est bouleversée.,La petite fille est désintéressée par ce qui attire la foule.,1
Les vieux hommes se trouvent à l'extérieur rire.,Plusieurs jeunes enfants se trouvent à l'extérieur rire et regardent des objets.,2
L'enfant aime le patinage.,Un enfant dans une capuchon rouge et des pantalons noirs patinage sur glace dans une patinoire.,1
Un chat blanc regarde un cerf.,Un chien brun regarde le cheval noir de l'autre côté de la porte.,2
Un homme fume un hookah.,Un homme portant un chandail de marine et des fumées turbanes d'un chariot.,0
l’homme et le chien,Un homme en captivité mûre la pelouse à l'aide d'une tondeuse.,2
Le motocycliste touche le vélo.,Un cycliste fixe sa bicyclette,0
Les ex-amis sont sur scène.,Un homme et une femme bien coiffés chantent sur scène sous les feux.,1
Le garçon se tient sur le pont.,Un petit garçon jouant dans la piscine donnant un accueil.,2
Les animaux de compagnie dorment dans leurs lits dans la salle de séjour.,Trois chiens descendent sur la plage.,2
une femme est dans un magasin,Une femme qui regarde des articles dans un magasin.,0
Il est chaud à l'extérieur.,Les gens se trouvent dans l'herbe sans porter de chemises.,1
Le garçon porte une boîte.,Un garçon en châssis bleu tient une canne.,1
Un cheval qui participe à un spectacle de cheval.,Le cheval saute au-dessus de l'embarcation à l'aide d'une foule.,1
Femmes en voiture,Women and child riding on the back of a train.,2
Le gardien est vieux,Un gardien de magasin s'enfonce à l'avant de son magasin.,1
Un homme skie sur un lac.,Un homme en tronc de natation évolue sur un bateau.,2
Un homme joue la guitare devant l'atelier de musique pour s'enrichir.,Un homme jouant de la guitare acoustique devant une fenêtre de magasin.,1
L'homme se tient à la toilette.,Un homme se trouve à un microphone en regardant certains papiers avec une image sur un écran derrière lui.,2
Il y a des gens nuisibles sur des véhicules à pédale dans un cadre urbain.,"Trois personnes nues empruntent des bicyclettes dans une rue de la ville, tandis qu'une foule et des policiers regardent.",0
Une jeune femme se déplace à la maison de l'école dans une robe blanche.,Lady riding a bike in a white dress.,1
Femmes travaillant dans une salle de gym.,Young women practicing marshal arts in a gym.,0
Un homme emprunte un vélo pour travailler.,Un vieux homme emprunte une bicyclette sur une route de campagne.,1
Un joueur de football se promène dans la locker room.,Un joueur de football prend le football.,2
La fille joue du softball.,Une athlète attache les laces d'une de ses clefs sur le terrain.,1
Un jeune homme s'esclave sur sa cuisine pour faire un repas.,"Un jeune homme souriant à marcher à côté de la plage portant un cap de baseball, un t-shirt bleu et des jeans.",2
Les hommes exécutent une danse.,Deux animateurs exécutent sous des feux rouges.,1
Une fille saute dans un lac,Une fille d'un ponytail saute dans l'air à côté d'un grand corps d'eau et de quelques roches.,1
la femme peut faire de nombreuses trucs sur ses rollerskates,Une femelle en rouleau faisant un saut.,1
